,PDB ID,Datablock Name,Chain ID,Ligand ID,Ligand Name,Ligand SMILES
872,1YOB,1YOB,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
873,1YRH,1YRH,H,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
874,1YRH,1YRH,D,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
875,1YRH,1YRH,E,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
876,1YRH,1YRH,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
877,1YRH,1YRH,E,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
878,1YRH,1YRH,A,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
879,1YRH,1YRH,F,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
880,1YRH,1YRH,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
881,1YRH,1YRH,B,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
882,1YRH,1YRH,F,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
883,1YRH,1YRH,C,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
