,PDB ID,Datablock Name,Chain ID,Ligand ID,Ligand Name,Ligand SMILES
732,1VCF,1VCF,B,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
733,1VCF,1VCF,A,CD,CADMIUM ION,[Cd+2]
734,1VCF,1VCF,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
735,1VCF,1VCF,A,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
736,1VCF,1VCF,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
737,1VCG,1VCG,D,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
738,1VCG,1VCG,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
739,1VCG,1VCG,A,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
740,1VCG,1VCG,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
741,1VCG,1VCG,B,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
742,1VCG,1VCG,C,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
743,1VCG,1VCG,C,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
744,1VCG,1VCG,D,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
745,1VFR,1VFR,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
746,1VFR,1VFR,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
747,1VHN,1VHN,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
748,1VHN,1VHN,A,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
749,1VHN,1VHN,A,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
750,1VJI,1VJI,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
751,1VP8,1VP8,A,MSE,SELENOMETHIONINE,C[Se]CC[C@@H](C(=O)O)N
752,1VP8,1VP8,A,UNL,UNKNOWN LIGAND,
753,1VP8,1VP8,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
754,1VRQ,1VRQ,B,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
755,1VRQ,1VRQ,C,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
756,1VRQ,1VRQ,A,FON,FOLINIC ACID,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NC[C@@H]2CNC3=C(N2C=O)C(=O)N=C(N3)N
757,1VRQ,1VRQ,D,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
758,1VRQ,1VRQ,A,NAD,NICOTINAMIDE-ADENINE-DINUCLEOTIDE,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
759,1VRQ,1VRQ,D,ZN,ZINC ION,[Zn+2]
760,1VRQ,1VRQ,A,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
761,1VRQ,1VRQ,B,DMG,"N,N-DIMETHYLGLYCINE",CN(C)CC(=O)O
762,1VRQ,1VRQ,B,FAD,FLAVIN-ADENINE DINUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)n5cnc6c5ncnc6N)O)O)O)O)O
763,1VRQ,1VRQ,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
764,1VYP,1VYP,X,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
765,1VYP,1VYP,X,TNF,PICRIC ACID,c1c(cc(c(c1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
766,1VYR,1VYR,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
767,1VYR,1VYR,A,TNF,PICRIC ACID,c1c(cc(c(c1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
768,1VYS,1VYS,X,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
769,1VYS,1VYS,X,TNF,PICRIC ACID,c1c(cc(c(c1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
770,1WLI,1WLI,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
771,1WLI,1WLI,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
772,1WLK,1WLK,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
773,1WLK,1WLK,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
774,1WLK,1WLK,C,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
775,1WLK,1WLK,D,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
776,1WSB,1WSB,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
777,1WSW,1WSW,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
778,1WV4,1WV4,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
779,1WV4,1WV4,A,PO4,PHOSPHATE ION,[O-]P(=O)([O-])[O-]
780,1WV4,1WV4,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
781,1WV4,1WV4,B,PO4,PHOSPHATE ION,[O-]P(=O)([O-])[O-]
782,1X31,1X31,B,DMG,"N,N-DIMETHYLGLYCINE",CN(C)CC(=O)O
783,1X31,1X31,B,FAD,FLAVIN-ADENINE DINUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)n5cnc6c5ncnc6N)O)O)O)O)O
784,1X31,1X31,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
785,1X31,1X31,B,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
786,1X31,1X31,C,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
787,1X31,1X31,D,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
788,1X31,1X31,D,ZN,ZINC ION,[Zn+2]
789,1X31,1X31,A,NAD,NICOTINAMIDE-ADENINE-DINUCLEOTIDE,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
790,1X31,1X31,A,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
791,1X77,1X77,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
792,1X77,1X77,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
793,1XT6,1XT6,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
794,1XYV,1XYV,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
795,1XYY,1XYY,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
796,1Y30,1Y30,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
797,1Y30,1Y30,B,,,
798,1Y56,1Y56,A,FE,FE (III) ION,[Fe+3]
799,1Y56,1Y56,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
800,1Y56,1Y56,A,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
801,1Y56,1Y56,B,CL,CHLORIDE ION,[Cl-]
802,1Y56,1Y56,B,FAD,FLAVIN-ADENINE DINUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)n5cnc6c5ncnc6N)O)O)O)O)O
803,1Y56,1Y56,A,ATP,ADENOSINE-5'-TRIPHOSPHATE,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
804,1Y56,1Y56,A,CXS,3-CYCLOHEXYL-1-PROPYLSULFONIC ACID,C1CCC(CC1)NCCCS(=O)(=O)O
805,1YCF,1YCF,D,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
806,1YCF,1YCF,A,ZN,ZINC ION,[Zn+2]
807,1YCF,1YCF,D,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
808,1YCF,1YCF,B,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
809,1YCF,1YCF,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
810,1YCF,1YCF,D,OXY,OXYGEN MOLECULE,O=O
811,1YCF,1YCF,B,OXY,OXYGEN MOLECULE,O=O
812,1YCF,1YCF,B,ZN,ZINC ION,[Zn+2]
813,1YCF,1YCF,A,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
814,1YCF,1YCF,C,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
815,1YCF,1YCF,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
816,1YCF,1YCF,C,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
817,1YCF,1YCF,C,OXY,OXYGEN MOLECULE,O=O
818,1YCF,1YCF,A,OXY,OXYGEN MOLECULE,O=O
819,1YCG,1YCG,D,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
820,1YCG,1YCG,B,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
821,1YCG,1YCG,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
822,1YCG,1YCG,D,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
823,1YCG,1YCG,B,ZN,ZINC ION,[Zn+2]
824,1YCG,1YCG,D,ZN,ZINC ION,[Zn+2]
825,1YCG,1YCG,C,EDO,"1,2-ETHANEDIOL",C(CO)O
826,1YCG,1YCG,A,EDO,"1,2-ETHANEDIOL",C(CO)O
827,1YCG,1YCG,A,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
828,1YCG,1YCG,C,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
829,1YCG,1YCG,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
830,1YCG,1YCG,C,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
831,1YCG,1YCG,C,ZN,ZINC ION,[Zn+2]
832,1YCG,1YCG,A,ZN,ZINC ION,[Zn+2]
833,1YCG,1YCG,D,EDO,"1,2-ETHANEDIOL",C(CO)O
834,1YCG,1YCG,B,EDO,"1,2-ETHANEDIOL",C(CO)O
835,1YCH,1YCH,B,ZN,ZINC ION,[Zn+2]
836,1YCH,1YCH,C,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
837,1YCH,1YCH,C,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
838,1YCH,1YCH,A,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
839,1YCH,1YCH,C,ZN,ZINC ION,[Zn+2]
840,1YCH,1YCH,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
841,1YCH,1YCH,D,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
842,1YCH,1YCH,A,ZN,ZINC ION,[Zn+2]
843,1YCH,1YCH,D,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
844,1YCH,1YCH,D,ZN,ZINC ION,[Zn+2]
845,1YCH,1YCH,B,FEO,MU-OXO-DIIRON,O([Fe])[Fe]
846,1YCH,1YCH,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
847,1YKG,1YKG,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
848,1YKI,1YKI,C,NFZ,NITROFURAZONE,c1cc(oc1\C=N\NC(=O)N)[N+](=O)[O-]
849,1YKI,1YKI,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
850,1YKI,1YKI,D,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
851,1YKI,1YKI,A,NFZ,NITROFURAZONE,c1cc(oc1\C=N\NC(=O)N)[N+](=O)[O-]
852,1YKI,1YKI,D,NFZ,NITROFURAZONE,c1cc(oc1\C=N\NC(=O)N)[N+](=O)[O-]
853,1YKI,1YKI,B,DMS,DIMETHYL SULFOXIDE,CS(=O)C
854,1YKI,1YKI,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
855,1YKI,1YKI,B,NFZ,NITROFURAZONE,c1cc(oc1\C=N\NC(=O)N)[N+](=O)[O-]
856,1YKI,1YKI,C,CIT,CITRIC ACID,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
857,1YKI,1YKI,C,DMS,DIMETHYL SULFOXIDE,CS(=O)C
858,1YKI,1YKI,C,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
859,1YLR,1YLR,A,ACT,ACETATE ION,CC(=O)[O-]
860,1YLR,1YLR,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
861,1YLR,1YLR,B,ACT,ACETATE ION,CC(=O)[O-]
862,1YLR,1YLR,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
863,1YLU,1YLU,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
864,1YLU,1YLU,B,ACT,ACETATE ION,CC(=O)[O-]
865,1YLU,1YLU,B,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
866,1YLU,1YLU,A,ACT,ACETATE ION,CC(=O)[O-]
867,1YOA,1YOA,A,FAD,FLAVIN-ADENINE DINUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)n5cnc6c5ncnc6N)O)O)O)O)O
868,1YOA,1YOA,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
869,1YOB,1YOB,B,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
870,1YOB,1YOB,A,FMN,FLAVIN MONONUCLEOTIDE,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O
871,1YOB,1YOB,A,SO4,SULFATE ION,[O-]S(=O)(=O)[O-]
